# 07-sensitive-files dorks
filetype:sql "password"
filetype:sql "insert into" "password"
filetype:sql "create table" "user"
filetype:sql "dump"
filetype:sql "values" "admin"
filetype:sql "INSERT"
filetype:sql "username"
filetype:bak "password"
filetype:bak "admin"
filetype:bak "config"
filetype:bak "backup"
filetype:old "password"
filetype:old "config"
filetype:txt "password"
filetype:log "password"
filetype:log "error"
filetype:log "debug"
filetype:log "Failed password"
filetype:log "root:" 
filetype:env "DB_PASSWORD"
filetype:env "DB_HOST"
filetype:env "API_KEY"
filetype:env "SECRET_KEY"
filetype:env "AWS_SECRET"
filetype:env "PASSWORD"
filetype:env "DATABASE_URL"
filetype:env "REDIS_URL"
filetype:conf "password"
filetype:conf "mysql"
filetype:conf "config"
filetype:ini "password"
filetype:ini "mysql"
filetype:ini "config"
filetype:xls "password"
filetype:xlsx "password"
filetype:pdf "password"
filetype:pdf "confidential"
filetype:doc "password"
filetype:docx "password"
filetype:xml "password"
filetype:xml "config"
filetype:json "password"
filetype:json "api_key"
filetype:json "secret"
filetype:json "token"
filetype:yaml "password"
filetype:yaml "api_key"
filetype:yml "password"
filetype:yml "api_key"
